lat,lng,date,crime
40.5761573,-73.9759838,1/1/15,RAPE
40.76018548,-73.76784259,1/1/15,RAPE
40.5761573,-73.9759838,1/1/15,RAPE
40.5761573,-73.9759838,1/1/15,RAPE
40.64472613,-74.07748316,1/1/15,RAPE
40.67458331,-73.93022154,1/1/15,RAPE
40.68887215,-73.94452903,1/1/15,RAPE
40.74308017,-73.95473646,1/1/15,RAPE
40.75686098,-73.87565666,1/1/15,RAPE
40.80069433,-73.94110929,1/1/15,RAPE
40.88745131,-73.84760779,1/1/15,RAPE
40.64865009,-73.95033556,1/1/15,RAPE
40.66557499,-73.88568179,1/1/15,ROBBERY
40.67436925,-73.86304851,1/1/15,ROBBERY
40.5962742,-73.75413146,1/1/15,ROBBERY
40.63289384,-73.94769921,1/1/15,ROBBERY
40.69796352,-73.91808336,1/1/15,RAPE
40.86905853,-73.87963015,1/1/15,RAPE
40.56505455,-74.18438693,1/1/15,ROBBERY
40.66352682,-73.95720905,1/1/15,ROBBERY
40.67475533,-73.93334337,1/1/15,ROBBERY
40.69399523,-73.94168314,1/1/15,ROBBERY
40.80766516,-73.95120669,1/1/15,ROBBERY
40.822127,-73.89688076,1/1/15,ROBBERY
40.60718637,-73.96238801,1/1/15,ROBBERY
40.80845559,-73.94499651,1/1/15,ROBBERY
40.67458331,-73.93022154,1/1/15,ROBBERY
40.79967276,-73.958848,1/1/15,ROBBERY
40.68845057,-73.74310746,1/1/15,ROBBERY
40.87906285,-73.87438667,1/1/15,ROBBERY
40.83089578,-73.85326244,1/1/15,ROBBERY
40.68887215,-73.94452903,1/1/15,RAPE
40.8297069,-73.88701503,1/1/15,ROBBERY
40.70275315,-73.80591563,1/1/15,ROBBERY
40.71008566,-73.94871353,1/1/15,ROBBERY
40.67952443,-73.9110828,1/1/15,ROBBERY
40.70217161,-73.76088555,1/1/15,ROBBERY
40.71801494,-73.98659985,1/1/15,ROBBERY
40.75521724,-73.87099633,1/1/15,ROBBERY
40.58646553,-73.81652172,1/1/15,RAPE
40.86020622,-73.89289205,1/1/15,ROBBERY
40.75581199,-73.88304361,1/1/15,ROBBERY
40.87906285,-73.87438667,1/1/15,ROBBERY
40.7434568,-74.00354169,1/1/15,ROBBERY
40.74907794,-73.9938804,1/1/15,ROBBERY
40.70704748,-73.7926119,1/1/15,RAPE
40.74525274,-73.87006287,1/1/15,RAPE
40.69008097,-73.96055993,1/1/15,RAPE
40.68723766,-73.94178641,1/1/15,ROBBERY
40.85557249,-73.88368877,1/1/15,ROBBERY
40.60811531,-73.75413467,1/1/15,ROBBERY
40.75586092,-73.88258151,1/1/15,ROBBERY
40.81988562,-73.901227,1/1/15,ROBBERY
40.81915053,-73.93718378,1/1/15,ROBBERY
40.58692748,-73.96386116,1/1/15,ROBBERY
40.76396044,-73.9293987,1/1/15,ROBBERY
40.64143241,-74.0178197,1/1/15,ROBBERY
40.80280675,-73.95751323,1/1/15,ROBBERY
40.63721508,-73.95656656,1/1/15,ROBBERY
40.74525274,-73.87006287,1/1/15,RAPE
40.86244157,-73.8911929,1/1/15,ROBBERY
40.88153083,-73.82980382,1/1/15,ROBBERY
40.66356929,-73.92284026,1/1/15,ROBBERY
40.76128397,-73.92044209,1/1/15,ROBBERY
40.82261238,-73.86229179,1/1/15,ROBBERY
40.84262312,-73.93681104,1/1/15,ROBBERY
40.68136402,-73.76516772,1/1/15,ROBBERY
40.68587877,-73.79358277,1/1/15,ROBBERY
40.68017621,-74.00583134,1/1/15,ROBBERY
40.68168289,-73.87912829,1/1/15,ROBBERY
40.69522897,-73.97621138,1/1/15,ROBBERY
40.80556877,-73.9144977,1/2/15,ROBBERY
40.83732351,-73.91983076,1/2/15,RAPE
40.76425633,-73.97387276,1/2/15,ROBBERY
40.66051429,-73.83058758,1/2/15,ROBBERY
40.66741528,-73.95487432,1/2/15,ROBBERY
40.63730028,-74.11499687,1/2/15,ROBBERY
40.66043663,-73.93977335,1/2/15,ROBBERY
40.73293622,-74.0000664,1/2/15,ROBBERY
40.60295159,-73.74997626,1/2/15,ROBBERY
40.75029159,-73.86023968,1/2/15,ROBBERY
40.85383586,-73.90898093,1/2/15,ROBBERY
40.80383755,-73.94210344,1/2/15,ROBBERY
40.66048172,-73.88129686,1/2/15,ROBBERY
40.70426739,-73.89355376,1/2/15,RAPE
40.67065507,-73.91339092,1/2/15,ROBBERY
40.59825555,-73.75522966,1/2/15,ROBBERY
40.67701263,-73.78142817,1/2/15,ROBBERY
40.8194367,-73.84496713,1/2/15,ROBBERY
40.65146254,-73.92356783,1/2/15,ROBBERY
40.69414847,-73.92648314,1/2/15,ROBBERY
40.69807849,-73.94531477,1/2/15,ROBBERY
40.80837414,-73.94688582,1/2/15,ROBBERY
40.67238377,-73.86925673,1/2/15,ROBBERY
40.74978011,-73.98778087,1/2/15,ROBBERY
40.63360621,-73.91369841,1/2/15,ROBBERY
40.67065507,-73.91339092,1/2/15,RAPE
40.81612233,-73.89775712,1/2/15,ROBBERY
40.64329235,-73.92947954,1/2/15,ROBBERY
40.6734194,-73.8676036,1/2/15,ROBBERY
40.64937054,-73.96087229,1/2/15,ROBBERY
40.67355282,-73.86666963,1/2/15,ROBBERY
40.69342733,-73.85281852,1/2/15,ROBBERY
40.6593452,-73.92725676,1/2/15,ROBBERY
40.6751226,-73.73734013,1/2/15,ROBBERY
40.66268203,-73.89736873,1/2/15,ROBBERY
40.68051475,-73.88288723,1/2/15,ROBBERY
40.71193331,-73.99822675,1/2/15,ROBBERY
40.87406499,-73.82594307,1/2/15,ROBBERY
40.67824118,-73.89032531,1/2/15,ROBBERY
40.87807502,-73.82595788,1/2/15,ROBBERY
40.73019829,-73.98196462,1/2/15,ROBBERY
40.68577118,-73.92193479,1/2/15,ROBBERY
40.8172054,-73.95705243,1/2/15,ROBBERY
40.67000458,-73.90984822,1/2/15,ROBBERY
40.64811318,-73.91851574,1/2/15,ROBBERY
40.68176791,-73.84273451,1/2/15,ROBBERY
40.60519437,-73.75779359,1/3/15,ROBBERY
40.7595042,-73.93142485,1/3/15,ROBBERY
40.69328676,-73.9042886,1/3/15,ROBBERY
40.81077277,-73.95259159,1/3/15,ROBBERY
